Time_submitted,Rating
2022-07,5
2022-07,4
2022-07,4
2022-07,1
2022-07,5
2022-07,1
2022-07,4
2022-07,1
2022-07,1
2022-07,3
2022-07,4
2022-07,1
2022-07,4
2022-07,2
2022-07,1
2022-07,5
2022-07,5
2022-07,3
2022-07,1
2022-07,2
2022-07,3
2022-07,2
2022-07,4
2022-07,2
2022-07,1
2022-07,5
2022-07,1
2022-07,1
2022-07,5
2022-07,1
2022-07,1
2022-07,2
2022-07,4
2022-07,5
2022-07,5
2022-07,3
2022-07,5
2022-07,5
2022-07,5
2022-07,2
2022-07,4
2022-07,4
2022-07,4
2022-07,2
2022-07,4
2022-07,5
2022-07,2
2022-07,2
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,4
2022-07,2
2022-07,3
2022-07,1
2022-07,1
2022-07,2
2022-07,5
2022-07,1
2022-07,5
2022-07,2
2022-07,1
2022-07,5
2022-07,1
2022-07,5
2022-07,1
2022-07,4
2022-07,5
2022-07,1
2022-07,4
2022-07,4
2022-07,5
2022-07,5
2022-07,1
2022-07,2
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,1
2022-07,3
2022-07,5
2022-07,1
2022-07,1
2022-07,1
2022-07,1
2022-07,5
2022-07,1
2022-07,4
2022-07,5
2022-07,3
2022-07,4
2022-07,2
2022-07,2
2022-07,5
2022-07,5
2022-07,2
2022-07,1
2022-07,1
2022-07,5
2022-07,5
2022-07,5
2022-07,4
2022-07,3
2022-07,3
2022-07,5
2022-07,2
2022-07,3
2022-07,5
2022-07,2
2022-07,5
2022-07,5
2022-07,4
2022-07,3
2022-07,2
2022-07,5
2022-07,1
2022-07,5
2022-07,1
2022-07,1
2022-07,1
2022-07,1
2022-07,1
2022-07,4
2022-07,1
2022-07,1
2022-07,5
2022-07,5
2022-07,3
2022-07,5
2022-07,1
2022-07,1
2022-07,1
2022-07,1
2022-07,4
2022-07,4
2022-07,3
2022-07,1
2022-07,5
2022-07,5
2022-07,4
2022-07,3
2022-07,1
2022-07,1
2022-07,2
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,4
2022-07,4
2022-07,1
2022-07,1
2022-07,5
2022-07,5
2022-07,1
2022-07,5
2022-07,5
2022-07,1
2022-07,5
2022-07,4
2022-07,1
2022-07,2
2022-07,5
2022-07,5
2022-07,5
2022-07,1
2022-07,1
2022-07,5
2022-07,4
2022-07,1
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,4
2022-07,3
2022-07,3
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,3
2022-07,2
2022-07,5
2022-07,3
2022-07,5
2022-07,2
2022-07,5
2022-07,4
2022-07,1
2022-07,2
2022-07,5
2022-07,4
2022-07,4
2022-07,1
2022-07,4
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,4
2022-07,2
2022-07,5
2022-07,3
2022-07,3
2022-07,1
2022-07,5
2022-07,4
2022-07,5
2022-07,4
2022-07,5
2022-07,2
2022-07,4
2022-07,1
2022-07,5
2022-07,1
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,3
2022-07,5
2022-07,4
2022-07,5
2022-07,5
2022-07,3
2022-07,2
2022-07,3
2022-07,5
2022-07,5
2022-07,1
2022-07,4
2022-07,3
2022-07,1
2022-07,4
2022-07,1
2022-07,2
2022-07,1
2022-07,5
2022-07,1
2022-07,2
2022-07,3
2022-07,1
2022-07,1
2022-07,3
2022-07,4
2022-07,5
2022-07,5
2022-07,3
2022-07,1
2022-07,1
2022-07,3
2022-07,1
2022-07,5
2022-07,1
2022-07,5
2022-07,5
2022-07,5
2022-07,2
2022-07,1
2022-07,1
2022-07,4
2022-07,4
2022-07,5
2022-07,3
2022-07,5
2022-07,5
2022-07,4
2022-07,5
2022-07,5
2022-07,5
2022-07,4
2022-07,1
2022-07,5
2022-07,5
2022-07,5
2022-07,2
2022-07,5
2022-07,3
2022-07,1
2022-07,2
2022-07,1
2022-07,2
2022-07,2
2022-07,5
2022-07,1
2022-07,5
2022-07,1
2022-07,5
2022-07,4
2022-07,5
2022-07,1
2022-07,3
2022-07,4
2022-07,1
2022-07,3
2022-07,5
2022-07,5
2022-07,5
2022-07,3
2022-07,5
2022-07,3
2022-07,3
2022-07,5
2022-07,1
2022-07,1
2022-07,1
2022-07,1
2022-07,5
2022-07,1
2022-07,4
2022-07,4
2022-07,5
2022-07,5
2022-07,1
2022-07,3
2022-07,1
2022-07,5
2022-07,5
2022-07,4
2022-07,5
2022-07,2
2022-07,5
2022-07,1
2022-07,1
2022-07,5
2022-07,5
2022-07,5
2022-07,4
2022-07,4
2022-07,1
2022-07,5
2022-07,5
2022-07,5
2022-07,3
2022-07,3
2022-07,5
2022-07,2
2022-07,1
2022-07,5
2022-07,2
2022-07,4
2022-07,5
2022-07,5
2022-07,5
2022-07,4
2022-07,3
2022-07,5
2022-07,5
2022-07,2
2022-07,1
2022-07,1
2022-07,5
2022-07,4
2022-07,5
2022-07,5
2022-07,5
2022-07,1
2022-07,3
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,3
2022-07,2
2022-07,1
2022-07,5
2022-07,5
2022-07,5
2022-07,3
2022-07,3
2022-07,5
2022-07,5
2022-07,5
2022-07,3
2022-07,3
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,1
2022-07,1
2022-07,5
2022-07,1
2022-07,5
2022-07,5
2022-07,1
2022-07,2
2022-07,1
2022-07,1
2022-07,1
2022-07,5
2022-07,1
2022-07,5
2022-07,3
2022-07,2
2022-07,2
2022-07,5
2022-07,5
2022-07,2
2022-07,5
2022-07,5
2022-07,1
2022-07,3
2022-07,3
2022-07,5
2022-07,5
2022-07,4
2022-07,1
2022-07,5
2022-07,5
2022-07,2
2022-07,5
2022-07,5
2022-07,1
2022-07,1
2022-07,2
2022-07,4
2022-07,5
2022-07,4
2022-07,4
2022-07,1
2022-07,3
2022-07,5
2022-07,2
2022-07,1
2022-07,5
2022-07,2
2022-07,5
2022-07,1
2022-07,5
2022-07,5
2022-07,5
2022-07,1
2022-07,5
2022-07,5
2022-07,2
2022-07,5
2022-07,1
2022-07,5
2022-07,4
2022-07,4
2022-07,5
2022-07,2
2022-07,2
2022-07,5
2022-07,2
2022-07,1
2022-07,1
2022-07,4
2022-07,4
2022-07,1
2022-07,1
2022-07,1
2022-07,4
2022-07,3
2022-07,3
2022-07,5
2022-07,1
2022-07,1
2022-07,1
2022-07,4
2022-07,1
2022-07,1
2022-07,4
2022-07,3
2022-07,1
2022-07,3
2022-07,3
2022-07,3
2022-07,3
2022-07,1
2022-07,3
2022-07,1
2022-07,5
2022-07,5
2022-07,5
2022-07,1
2022-07,1
2022-07,4
2022-07,5
2022-07,1
2022-07,2
2022-07,5
2022-07,1
2022-07,4
2022-07,5
2022-07,5
2022-07,2
2022-07,2
2022-07,5
2022-07,5
2022-07,1
2022-07,4
2022-07,5
2022-07,1
2022-07,5
2022-07,5
2022-07,4
2022-07,4
2022-07,2
2022-07,1
2022-07,1
2022-07,3
2022-07,2
2022-07,5
2022-07,1
2022-07,5
2022-07,1
2022-07,5
2022-07,3
2022-07,3
2022-07,5
2022-07,4
2022-07,1
2022-07,5
2022-07,2
2022-07,3
2022-07,1
2022-07,5
2022-07,2
2022-07,5
2022-07,5
2022-07,4
2022-07,5
2022-07,5
2022-07,5
2022-07,4
2022-07,3
2022-07,5
2022-07,4
2022-07,5
2022-07,5
2022-07,1
2022-07,2
2022-07,5
2022-07,5
2022-07,3
2022-07,5
2022-07,5
2022-07,1
2022-07,5
2022-07,1
2022-07,5
2022-07,1
2022-07,5
2022-07,1
2022-07,1
2022-07,1
2022-07,5
2022-07,1
2022-07,5
2022-07,5
2022-07,1
2022-07,5
2022-07,4
2022-07,5
2022-07,1
2022-07,4
2022-07,4
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,3
2022-07,4
2022-07,5
2022-07,4
2022-07,3
2022-07,1
2022-07,1
2022-07,1
2022-07,1
2022-07,5
2022-07,2
2022-07,2
2022-07,5
2022-07,5
2022-07,5
2022-07,3
2022-07,5
2022-07,1
2022-07,5
2022-07,5
2022-07,1
2022-07,2
2022-07,3
2022-07,2
2022-07,4
2022-07,5
2022-07,4
2022-07,5
2022-07,4
2022-07,5
2022-07,4
2022-07,5
2022-07,1
2022-07,5
2022-07,5
2022-07,1
2022-07,1
2022-07,1
2022-07,2
2022-07,1
2022-07,5
2022-07,2
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,4
2022-07,1
2022-07,3
2022-07,5
2022-07,5
2022-07,1
2022-07,5
2022-07,1
2022-07,2
2022-07,5
2022-07,1
2022-07,4
2022-07,3
2022-07,2
2022-07,4
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,1
2022-07,4
2022-07,5
2022-07,4
2022-07,5
2022-07,2
2022-07,5
2022-07,4
2022-07,5
2022-07,5
2022-07,3
2022-07,1
2022-07,3
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,1
2022-07,1
2022-07,5
2022-07,5
2022-07,4
2022-07,2
2022-07,4
2022-07,2
2022-07,2
2022-07,5
2022-07,5
2022-07,5
2022-07,3
2022-07,2
2022-07,1
2022-07,5
2022-07,3
2022-07,1
2022-07,5
2022-07,5
2022-07,2
2022-07,1
2022-07,5
2022-07,1
2022-07,5
2022-07,3
2022-07,5
2022-07,3
2022-07,5
2022-07,4
2022-07,5
2022-07,1
2022-07,4
2022-07,3
2022-07,5
2022-07,2
2022-07,2
2022-07,5
2022-07,4
2022-07,1
2022-07,1
2022-07,1
2022-07,1
2022-07,5
2022-07,1
2022-07,3
2022-07,5
2022-07,5
2022-07,1
2022-07,3
2022-07,5
2022-07,3
2022-07,1
2022-07,5
2022-07,5
2022-07,1
2022-07,3
2022-07,2
2022-07,5
2022-07,4
2022-07,5
2022-07,5
2022-07,2
2022-07,5
2022-07,4
2022-07,1
2022-07,1
2022-07,1
2022-07,5
2022-07,5
2022-07,1
2022-07,1
2022-07,2
2022-07,1
2022-07,4
2022-07,1
2022-07,5
2022-07,3
2022-07,5
2022-07,3
2022-07,5
2022-07,5
2022-07,5
2022-07,3
2022-07,1
2022-07,4
2022-07,3
2022-07,5
2022-07,1
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,1
2022-07,4
2022-07,5
2022-07,5
2022-07,4
2022-07,1
2022-07,1
2022-07,2
2022-07,2
2022-07,1
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,1
2022-07,5
2022-07,3
2022-07,1
2022-07,5
2022-07,4
2022-07,1
2022-07,5
2022-07,5
2022-07,1
2022-07,1
2022-07,1
2022-07,5
2022-07,1
2022-07,5
2022-07,1
2022-07,2
2022-07,1
2022-07,3
2022-07,5
2022-07,5
2022-07,5
2022-07,2
2022-07,5
2022-07,5
2022-07,3
2022-07,1
2022-07,2
2022-07,1
2022-07,4
2022-07,1
2022-07,5
2022-07,2
2022-07,5
2022-07,1
2022-07,2
2022-07,5
2022-07,5
2022-07,2
2022-07,5
2022-07,2
2022-07,4
2022-07,5
2022-07,1
2022-07,1
2022-07,2
2022-07,5
2022-07,5
2022-07,4
2022-07,3
2022-07,3
2022-07,3
2022-07,5
2022-07,4
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,4
2022-07,1
2022-07,4
2022-07,5
2022-07,5
2022-07,1
2022-07,5
2022-07,5
2022-07,1
2022-07,4
2022-07,5
2022-07,4
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,1
2022-07,5
2022-07,5
2022-07,1
2022-07,1
2022-07,1
2022-07,5
2022-07,5
2022-07,1
2022-07,1
2022-07,5
2022-07,3
2022-07,1
2022-07,4
2022-07,5
2022-07,1
2022-07,4
2022-07,5
2022-07,5
2022-07,5
2022-07,1
2022-07,1
2022-07,4
2022-07,2
2022-07,4
2022-07,1
2022-07,4
2022-07,2
2022-07,5
2022-07,1
2022-07,2
2022-07,4
2022-07,5
2022-07,5
2022-07,1
2022-07,5
2022-07,1
2022-07,5
2022-07,1
2022-07,4
2022-07,4
2022-07,5
2022-07,3
2022-07,1
2022-07,5
2022-07,2
2022-07,5
2022-07,5
2022-07,2
2022-07,4
2022-07,5
2022-07,3
2022-07,4
2022-07,5
2022-07,4
2022-07,5
2022-07,4
2022-07,1
2022-07,3
2022-07,1
2022-07,5
2022-07,5
2022-07,3
2022-07,3
2022-07,1
2022-07,5
2022-07,2
2022-07,5
2022-07,5
2022-07,2
2022-07,2
2022-07,1
2022-07,1
2022-07,5
2022-07,5
2022-07,5
2022-07,1
2022-07,2
2022-07,2
2022-07,5
2022-07,4
2022-07,5
2022-07,1
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,3
2022-07,1
2022-07,5
2022-07,2
2022-07,5
2022-07,5
2022-07,3
2022-07,2
2022-07,5
2022-07,3
2022-07,2
2022-07,5
2022-07,5
2022-07,3
2022-07,1
2022-07,3
2022-07,3
2022-07,1
2022-07,5
2022-07,2
2022-07,1
2022-07,1
2022-07,5
2022-07,4
2022-07,4
2022-07,3
2022-07,2
2022-07,5
2022-07,1
2022-07,4
2022-07,3
2022-07,5
2022-07,5
2022-07,3
2022-07,4
2022-07,4
2022-07,5
2022-07,5
2022-07,5
2022-07,2
2022-07,5
2022-07,2
2022-07,4
2022-07,1
2022-07,5
2022-07,4
2022-07,1
2022-07,5
2022-07,5
2022-07,5
2022-07,1
2022-07,5
2022-07,4
2022-07,2
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,2
2022-07,5
2022-07,5
2022-07,2
2022-07,1
2022-07,5
2022-07,5
2022-07,1
2022-07,5
2022-07,1
2022-07,4
2022-07,4
2022-07,5
2022-07,5
2022-07,5
2022-07,2
2022-07,5
2022-07,1
2022-07,4
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,1
2022-07,1
2022-07,5
2022-07,4
2022-07,5
2022-07,1
2022-07,5
2022-07,5
2022-07,1
2022-07,5
2022-07,2
2022-07,5
2022-07,1
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,1
2022-07,1
2022-07,5
2022-07,1
2022-07,2
2022-07,1
2022-07,4
2022-07,5
2022-07,5
2022-07,1
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,1
2022-07,5
2022-07,3
2022-07,5
2022-07,1
2022-07,3
2022-07,2
2022-07,1
2022-07,2
2022-07,1
2022-07,5
2022-07,4
2022-07,5
2022-07,2
2022-07,3
2022-07,5
2022-07,4
2022-07,1
2022-07,5
2022-07,1
2022-07,1
2022-07,5
2022-07,3
2022-07,5
2022-07,5
2022-07,5
2022-07,3
2022-07,5
2022-07,1
2022-07,3
2022-07,3
2022-07,5
2022-07,4
2022-07,1
2022-07,5
2022-07,5
2022-07,1
2022-07,5
2022-07,4
2022-07,5
2022-07,5
2022-07,5
2022-07,3
2022-07,5
2022-07,1
2022-07,3
2022-07,3
2022-07,4
2022-07,1
2022-07,2
2022-07,4
2022-07,5
2022-07,5
2022-07,5
2022-07,3
2022-07,5
2022-07,1
2022-07,5
2022-07,5
2022-07,5
2022-07,3
2022-07,5
2022-07,5
2022-07,5
2022-07,3
2022-07,2
2022-07,1
2022-07,5
2022-07,5
2022-07,1
2022-07,5
2022-07,1
2022-07,1
2022-07,5
2022-07,1
2022-07,4
2022-07,1
2022-07,5
2022-07,1
2022-07,5
2022-07,5
2022-07,1
2022-07,3
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,2
2022-07,3
2022-07,5
2022-07,5
2022-07,3
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,1
2022-07,1
2022-07,4
2022-07,1
2022-07,5
2022-07,5
2022-07,1
2022-07,5
2022-07,4
2022-07,1
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,2
2022-07,1
2022-07,5
2022-07,1
2022-07,1
2022-07,2
2022-07,4
2022-07,5
2022-07,1
2022-07,5
2022-07,4
2022-07,2
2022-07,4
2022-07,5
2022-07,2
2022-07,3
2022-07,5
2022-07,5
2022-07,4
2022-07,5
2022-07,5
2022-07,5
2022-07,1
2022-07,5
2022-07,1
2022-07,1
2022-07,5
2022-07,1
2022-07,1
2022-07,2
2022-07,1
2022-07,1
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,1
2022-07,5
2022-07,5
2022-07,1
2022-07,2
2022-07,5
2022-07,5
2022-07,1
2022-07,3
2022-07,2
2022-07,4
2022-07,5
2022-07,5
2022-07,3
2022-07,3
2022-07,1
2022-07,5
2022-07,1
2022-07,1
2022-07,1
2022-07,1
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,1
2022-07,5
2022-07,3
2022-07,5
2022-07,5
2022-07,4
2022-07,5
2022-07,4
2022-07,4
2022-07,4
2022-07,5
2022-07,5
2022-07,5
2022-07,1
2022-07,2
2022-07,1
2022-07,5
2022-07,1
2022-07,4
2022-07,5
2022-07,4
2022-07,5
2022-07,5
2022-07,5
2022-07,1
2022-07,4
2022-07,5
2022-07,1
2022-07,3
2022-07,1
2022-07,5
2022-07,2
2022-07,5
2022-07,1
2022-07,1
2022-07,4
2022-07,1
2022-07,5
2022-07,5
2022-07,1
2022-07,1
2022-07,3
2022-07,5
2022-07,1
2022-07,4
2022-07,1
2022-07,2
2022-07,1
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,1
2022-07,5
2022-07,5
2022-07,3
2022-07,1
2022-07,5
2022-07,4
2022-07,4
2022-07,5
2022-07,1
2022-07,2
2022-07,5
2022-07,4
2022-07,4
2022-07,4
2022-07,5
2022-07,5
2022-07,4
2022-07,5
2022-07,2
2022-07,2
2022-07,3
2022-07,5
2022-07,3
2022-07,5
2022-07,1
2022-07,1
2022-07,1
2022-07,5
2022-07,5
2022-07,3
2022-07,1
2022-07,1
2022-07,5
2022-07,5
2022-07,3
2022-07,5
2022-07,1
2022-07,5
2022-07,4
2022-07,5
2022-07,3
2022-07,1
2022-07,2
2022-07,5
2022-07,5
2022-07,5
2022-07,2
2022-07,5
2022-07,1
2022-07,5
2022-07,4
2022-07,5
2022-07,1
2022-07,1
2022-07,5
2022-07,1
2022-07,5
2022-07,5
2022-07,3
2022-07,4
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,1
2022-07,4
2022-07,1
2022-07,4
2022-07,3
2022-07,2
2022-07,5
2022-07,3
2022-07,5
2022-07,3
2022-07,4
2022-07,5
2022-07,2
2022-07,2
2022-07,1
2022-07,3
2022-07,5
2022-07,1
2022-07,1
2022-07,1
2022-07,1
2022-07,2
2022-07,5
2022-07,1
2022-07,1
2022-07,5
2022-07,1
2022-07,5
2022-07,1
2022-07,4
2022-07,5
2022-07,4
2022-07,5
2022-07,3
2022-07,3
2022-07,4
2022-07,3
2022-07,5
2022-07,1
2022-07,5
2022-07,1
2022-07,5
2022-07,4
2022-07,1
2022-07,1
2022-07,4
2022-07,1
2022-07,5
2022-07,4
2022-07,1
2022-07,5
2022-07,5
2022-07,4
2022-07,5
2022-07,5
2022-07,5
2022-07,1
2022-07,5
2022-07,4
2022-07,4
2022-07,2
2022-07,2
2022-07,5
2022-07,1
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,3
2022-07,5
2022-07,1
2022-07,4
2022-07,4
2022-07,5
2022-07,5
2022-07,5
2022-07,4
2022-07,5
2022-07,5
2022-07,5
2022-07,1
2022-07,5
2022-07,5
2022-07,2
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,4
2022-07,3
2022-07,5
2022-07,1
2022-07,5
2022-07,4
2022-07,5
2022-07,1
2022-07,5
2022-07,4
2022-07,1
2022-07,4
2022-07,5
2022-07,1
2022-07,4
2022-07,4
2022-07,2
2022-07,1
2022-07,5
2022-07,5
2022-07,4
2022-07,3
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,4
2022-07,5
2022-07,4
2022-07,4
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,1
2022-07,1
2022-07,1
2022-07,1
2022-07,1
2022-07,2
2022-07,2
2022-07,3
2022-07,5
2022-07,5
2022-07,5
2022-07,4
2022-07,3
2022-07,1
2022-07,1
2022-07,5
2022-07,1
2022-07,5
2022-07,5
2022-07,5
2022-07,3
2022-07,5
2022-07,1
2022-07,4
2022-07,4
2022-07,5
2022-07,5
2022-07,1
2022-07,4
2022-07,2
2022-07,1
2022-07,5
2022-07,5
2022-07,1
2022-07,5
2022-07,5
2022-07,4
2022-07,4
2022-07,2
2022-07,5
2022-07,1
2022-07,4
2022-07,5
2022-07,5
2022-07,1
2022-07,3
2022-07,1
2022-07,1
2022-07,5
2022-07,5
2022-07,1
2022-07,1
2022-07,5
2022-07,2
2022-07,2
2022-07,2
2022-07,2
2022-07,5
2022-07,1
2022-07,1
2022-07,5
2022-07,2
2022-07,4
2022-07,1
2022-07,4
2022-07,2
2022-07,4
2022-07,4
2022-07,2
2022-07,1
2022-07,5
2022-07,5
2022-07,3
2022-07,1
2022-07,5
2022-07,5
2022-07,5
2022-07,1
2022-07,2
2022-07,5
2022-07,4
2022-07,5
2022-07,5
2022-07,1
2022-07,1
2022-07,5
2022-07,3
2022-07,1
2022-07,4
2022-07,1
2022-07,3
2022-07,5
2022-07,4
2022-07,3
2022-07,5
2022-07,1
2022-07,3
2022-07,5
2022-07,1
2022-07,5
2022-07,5
2022-07,4
2022-07,5
2022-07,5
2022-07,1
2022-07,1
2022-07,5
2022-07,2
2022-07,5
2022-07,4
2022-07,5
2022-07,5
2022-07,4
2022-07,1
2022-07,5
2022-07,3
2022-07,2
2022-07,1
2022-07,1
2022-07,4
2022-07,1
2022-07,2
2022-07,5
2022-07,5
2022-07,3
2022-07,5
2022-07,1
2022-07,5
2022-07,5
2022-07,1
2022-07,3
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,1
2022-07,3
2022-07,5
2022-07,2
2022-07,1
2022-07,1
2022-07,4
2022-07,1
2022-07,5
2022-07,4
2022-07,3
2022-07,5
2022-07,5
2022-07,4
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,4
2022-07,1
2022-07,5
2022-07,3
2022-07,5
2022-07,1
2022-07,5
2022-07,4
2022-07,2
2022-07,5
2022-07,4
2022-07,5
2022-07,5
2022-07,5
2022-07,1
2022-07,2
2022-07,5
2022-07,1
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,2
2022-07,1
2022-07,1
2022-07,1
2022-07,4
2022-07,5
2022-07,2
2022-07,1
2022-07,5
2022-07,1
2022-07,3
2022-07,5
2022-07,1
2022-07,3
2022-07,4
2022-07,1
2022-07,1
2022-07,5
2022-07,1
2022-07,5
2022-07,5
2022-07,4
2022-07,2
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,1
2022-07,5
2022-07,1
2022-07,1
2022-07,4
2022-07,2
2022-07,3
2022-07,5
2022-07,4
2022-07,3
2022-07,5
2022-07,5
2022-07,1
2022-07,1
2022-07,5
2022-07,1
2022-07,1
2022-07,5
2022-07,1
2022-07,3
2022-07,1
2022-07,5
2022-07,4
2022-07,5
2022-07,3
2022-07,2
2022-07,4
2022-07,3
2022-07,1
2022-07,3
2022-07,1
2022-07,5
2022-07,5
2022-07,1
2022-07,5
2022-07,5
2022-07,1
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,3
2022-07,5
2022-07,2
2022-07,5
2022-07,5
2022-07,2
2022-07,3
2022-07,3
2022-07,5
2022-07,1
2022-07,3
2022-07,5
2022-07,2
2022-07,5
2022-07,5
2022-07,4
2022-07,3
2022-07,1
2022-07,5
2022-07,1
2022-07,2
2022-07,5
2022-07,4
2022-07,4
2022-07,5
2022-07,1
2022-07,5
2022-07,5
2022-07,4
2022-07,3
2022-07,5
2022-07,4
2022-07,5
2022-07,1
2022-07,1
2022-07,5
2022-07,5
2022-07,5
2022-07,1
2022-07,4
2022-07,5
2022-07,3
2022-07,4
2022-07,3
2022-07,1
2022-07,1
2022-07,4
2022-07,5
2022-07,3
2022-07,4
2022-07,1
2022-07,4
2022-07,1
2022-07,1
2022-07,2
2022-07,1
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,4
2022-07,5
2022-07,1
2022-07,5
2022-07,1
2022-07,3
2022-07,1
2022-07,4
2022-07,4
2022-07,5
2022-07,1
2022-07,4
2022-07,5
2022-07,4
2022-07,1
2022-07,5
2022-07,4
2022-07,5
2022-07,5
2022-07,1
2022-07,3
2022-07,5
2022-07,1
2022-07,5
2022-07,3
2022-07,5
2022-07,4
2022-07,4
2022-07,1
2022-07,5
2022-07,4
2022-07,1
2022-07,1
2022-07,2
2022-07,5
2022-07,4
2022-07,4
2022-07,1
2022-07,1
2022-07,4
2022-07,5
2022-07,1
2022-07,3
2022-07,4
2022-07,5
2022-07,1
2022-07,1
2022-07,1
2022-07,3
2022-07,1
2022-07,5
2022-07,5
2022-07,5
2022-07,1
2022-07,4
2022-07,5
2022-07,1
2022-07,3
2022-07,4
2022-07,5
2022-07,5
2022-07,4
2022-07,5
2022-07,5
2022-07,5
2022-07,2
2022-07,4
2022-07,3
2022-07,5
2022-07,4
2022-07,1
2022-07,5
2022-07,5
2022-07,4
2022-07,5
2022-07,3
2022-07,5
2022-07,5
2022-07,3
2022-07,3
2022-07,5
2022-07,5
2022-07,5
2022-07,2
2022-07,5
2022-07,5
2022-07,1
2022-07,1
2022-07,1
2022-07,2
2022-07,5
2022-07,5
2022-07,3
2022-07,5
2022-07,2
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,3
2022-07,1
2022-07,2
2022-07,4
2022-07,5
2022-07,5
2022-07,5
2022-07,4
2022-07,5
2022-07,5
2022-07,1
2022-07,1
2022-07,5
2022-07,5
2022-07,1
2022-07,4
2022-07,5
2022-07,5
2022-07,5
2022-07,1
2022-07,5
2022-07,5
2022-07,1
2022-07,1
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,5
2022-07,4
2022-06,1
2022-06,4
2022-06,5
2022-06,5
2022-06,4
2022-06,1
2022-06,3
2022-06,5
2022-06,1
2022-06,5
2022-06,1
2022-06,5
2022-06,5
2022-06,1
2022-06,2
2022-06,1
2022-06,2
2022-06,5
2022-06,5
2022-06,5
2022-06,5
2022-06,4
2022-06,5
2022-06,5
2022-06,4
2022-06,1
2022-06,3
2022-06,2
2022-06,4
2022-06,1
2022-06,5
2022-06,3
2022-06,5
2022-06,3
2022-06,5
2022-06,1
2022-06,3
2022-06,5
2022-06,4
2022-06,5
2022-06,3
2022-06,1
2022-06,1
2022-06,5
2022-06,5
2022-06,5
2022-06,1
2022-06,2
2022-06,4
2022-06,5
2022-06,1
2022-06,1
2022-06,1
2022-06,2
2022-06,2
2022-06,4
2022-06,5
2022-06,1
2022-06,4
2022-06,1
2022-06,3
2022-06,5
2022-06,5
2022-06,1
2022-06,1
2022-06,5
2022-06,5
2022-06,5
2022-06,5
2022-06,5
2022-06,5
2022-06,1
2022-06,5
2022-06,1
2022-06,1
2022-06,5
2022-06,5
2022-06,4
2022-06,5
2022-06,3
2022-06,5
2022-06,5
2022-06,3
2022-06,1
2022-06,3
2022-06,5
2022-06,5
2022-06,4
2022-06,1
2022-06,1
2022-06,5
2022-06,1
2022-06,4
2022-06,5
